         420213 function calls (416515 primitive calls) in 2.326 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.009    0.009 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\plistlib.py:47(<module>)
     1852    0.008    0.000    0.008    0.000 {method 'clear' of 'list' objects}
      315    0.001    0.000    0.008    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_compile.py:221(_compile_charset)
        1    0.000    0.000    0.008    0.008 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\email\charset.py:6(<module>)
       24    0.000    0.000    0.008    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1223(setParseAction)
       26    0.000    0.000    0.008    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1012(_trim_arity)
        1    0.000    0.000    0.008    0.008 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\platform.py:10(<module>)
       25    0.000    0.000    0.008    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1020(extract_stack)
       25    0.000    0.000    0.008    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\traceback.py:192(extract_stack)
       25    0.001    0.000    0.008    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\traceback.py:303(extract)
        1    0.000    0.000    0.007    0.007 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:646(_build_master)
        1    0.000    0.000    0.007    0.007 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:633(__init__)
       89    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:610(find_spec)
        1    0.000    0.000    0.007    0.007 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pythoncom.py:2(<module>)
       89    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:595(_search_registry)
        1    0.000    0.000    0.007    0.007 C:\Users\damie_000\Documents\GitHub\tallentaa\projet_rts\python\maps\e1l1.py:1(load)
      315    0.006    0.000    0.007    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_compile.py:248(_optimize_charset)
       89    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:588(_open_registry)
      179    0.007    0.000    0.007    0.000 {built-in method winreg.OpenKey}
      109    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:78(_path_is_mode_type)
        1    0.000    0.000    0.007    0.007 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\socket.py:47(<module>)
     7407    0.004    0.000    0.006    0.000 C:\Users\damie_000\Documents\GitHub\tallentaa\projet_rts\python\engine.py:121(get_mouse_pos)
2622/2618    0.002    0.000    0.006    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.006    0.006 rts.py:317(render)
        1    0.000    0.000    0.006    0.006 rts.py:16(load_textures)
        2    0.000    0.000    0.006    0.003 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\win32\lib\pywintypes.py:3(__import_pywin32_system_module__)
       40    0.000    0.000    0.006    0.000 C:\Users\damie_000\Documents\GitHub\tallentaa\projet_rts\python\engine.py:130(load_texture)
       98    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:87(_path_isfile)
    13172    0.006    0.000    0.006    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:226(__next)
    46912    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      565    0.001    0.000    0.006    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pygame\sysfont.py:52(_simplename)
       30    0.000    0.000    0.006    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2376(from_location)
        1    0.000    0.000    0.005    0.005 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\packaging\version.py:4(<module>)
        1    0.000    0.000    0.005    0.005 rts.py:732(set_map)
        1    0.004    0.004    0.005    0.005 rts.py:534(__init__)
        8    0.000    0.000    0.005    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\collections\__init__.py:349(namedtuple)
      447    0.001    0.000    0.005    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1140(copy)
       11    0.000    0.000    0.005    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4120(__init__)
    31/10    0.000    0.000    0.005    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3609(leaveWhitespace)
       23    0.005    0.000    0.005    0.000 {built-in method pygame.imageext.load_extended}
       68    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:823(path_stats)
      447    0.001    0.000    0.005    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\copy.py:67(copy)
        1    0.000    0.000    0.004    0.004 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\email\quoprimime.py:27(<module>)
    26113    0.004    0.000    0.004    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\enum.py:521(value)
        1    0.003    0.003    0.004    0.004 rts.py:418(render_gui)
        2    0.000    0.000    0.004    0.002 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\imp.py:330(load_dynamic)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:682(_load)
   125/62    0.000    0.000    0.004    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3229(copy)
    58/10    0.000    0.000    0.004    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3154(leaveWhitespace)
     7411    0.003    0.000    0.004    0.000 C:\Users\damie_000\Documents\GitHub\tallentaa\projet_rts\python\engine.py:87(surf)
      579    0.000    0.000    0.004    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\ntpath.py:237(dirname)
     7638    0.003    0.000    0.004    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pygame\sysfont.py:55(<genexpr>)
      603    0.002    0.000    0.004    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\ntpath.py:197(split)
      623    0.001    0.000    0.004    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\ntpath.py:74(join)
       39    0.000    0.000    0.004    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2521(_get_metadata)
       78    0.000    0.000    0.003    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_compile.py:412(_compile_info)
     1864    0.003    0.000    0.003    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\ntpath.py:120(splitdrive)
       50    0.000    0.000    0.003    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\linecache.py:53(checkcache)
        1    0.000    0.000    0.003    0.003 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\packaging\version.py:191(Version)
      100    0.000    0.000    0.003    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\traceback.py:269(line)
        1    0.000    0.000    0.003    0.003 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\random.py:37(<module>)
       29    0.003    0.000    0.003    0.000 {built-in method nt.listdir}
   125/62    0.000    0.000    0.003    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3231(<listcomp>)
     1217    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
      100    0.000    0.000    0.003    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\linecache.py:15(getline)
       49    0.003    0.000    0.003    0.000 {built-in method nt._isdir}
        6    0.000    0.000    0.003    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2719(_reload_version)
       12    0.000    0.000    0.003    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2528(__init__)
        6    0.000    0.000    0.003    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\__init__.py:2348(_version_from_file)
      100    0.000    0.000    0.003    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\linecache.py:37(getlines)
    27162    0.003    0.000    0.003    0.000 C:\Users\damie_000\Documents\GitHub\tallentaa\projet_rts\python\engine.py:106(<lambda>)
      573    0.003    0.000    0.003    0.000 {built-in method winreg.EnumValue}
        2    0.000    0.000    0.003    0.001 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\linecache.py:82(updatecache)
        1    0.000    0.000    0.003    0.003 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\string.py:15(<module>)
     7408    0.003    0.000    0.003    0.000 {built-in method pygame.mouse.get_pos}
       58    0.000    0.000    0.003    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3158(<listcomp>)
     1851    0.002    0.000    0.003    0.000 C:\Users\damie_000\Documents\GitHub\tallentaa\projet_rts\python\engine.py:102(fill)
       85    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
        1    0.000    0.000    0.003    0.003 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\string.py:61(__init__)
 1240/443    0.002    0.000    0.003    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:167(getwidth)
        6    0.000    0.000    0.003    0.000 {built-in method builtins.next}
      603    0.001    0.000    0.003    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\ntpath.py:220(splitext)
     3703    0.002    0.000    0.003    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\sre_parse.py:157(__getitem__)
       15    0.002    0.000    0.003    0.000 {built-in method builtins.print}
      447    0.001    0.000    0.002    0.000 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\copy.py:270(_reconstruct)
        1    0.001    0.001    0.002    0.002 rts.py:322(render_game)
        1    0.000    0.000    0.002    0.002 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4763(makeHTMLTags)
        1    0.000    0.000    0.002    0.002 C:\Users\damie_000\AppData\Local\Programs\Python\Python35-32\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4734(_makeTags)
