player.x     = 3.150791
player.y     = 5.738585
player.a     = 264.799469
player.cos_a = -0.090642
player.sin_a = 0.995884
Col Dist    Height
093. 5.386943 18
094. 5.406886 18
095. 5.426976 18
096. 5.447216 18
097. 5.467608 18
098. 5.488153 18
099. 5.508853 18
100. 5.529709 18
101. 5.550724 18
102. 5.571900 17
103. 5.593238 17
104. 5.614739 17
105. 5.636407 17
106. 5.658243 17
107. 5.680248 17
108. 5.702425 17
109. 5.724777 17
110. 5.747304 17
111. 5.770009 17
112. 5.792894 17
113. 5.815961 17
114. 5.839213 17
115. 5.862651 17
116. 5.886279 16
117. 5.910097 16
118. 5.934110 16
119. 5.958318 16
120. 5.982724 16
121. 6.007331 16
122. 6.032142 16
123. 6.057158 16
124. 6.082383 16
125. 6.107818 16
126. 6.133467 16
127. 6.159333 16
128. 6.185417 16
129. 6.211724 16
130. 6.238255 16
131. 6.265014 15
132. 6.292003 15
133. 6.319226 15
134. 6.346685 15
135. 6.374385 15
136. 6.402327 15
137. 6.430515 15
138. 6.458952 15
139. 6.487642 15
140. 6.516588 15
141. 6.545793 15
142. 6.575262 15
143. 6.604997 15
144. 6.635002 15
145. 6.665281 15
146. 6.695837 14
147. 6.726675 14
148. 6.757799 14
149. 6.789212 14
150. 6.820918 14
151. 6.852921 14
152. 6.885227 14
153. 6.917838 14
154. 6.950760 14
155. 6.983997 14
156. 7.017553 14
157. 7.051433 14
158. 7.085642 14
159. 7.120184 14
160. 7.155065 13
161. 7.190289 13
162. 7.225862 13
163. 7.261788 13
164. 7.298074 13
165. 7.334724 13
166. 7.371743 13
167. 7.409139 13
168. 7.446916 13
169. 7.485080 13
170. 7.523637 13
171. 7.562593 13
172. -1.032828 -96
173. -1.032629 -96
174. -1.032430 -96
175. -1.032230 -96
176. -1.032031 -96
177. -1.031832 -96
178. -1.031633 -96
179. -1.031434 -96
180. -1.031235 -96
181. -1.031037 -96
182. -1.030838 -97
183. -1.030639 -97
184. -1.030441 -97
185. -1.030242 -97
186. -1.030044 -97
187. -1.029846 -97
188. -1.029647 -97
189. -1.029449 -97
190. -1.029251 -97
191. -1.029053 -97
192. -1.028855 -97
193. -1.028657 -97
194. -1.028460 -97
195. -1.028262 -97
196. -1.028064 -97
197. -1.027867 -97
198. -1.027669 -97
199. -1.027472 -97
200. -1.027274 -97
201. -1.027077 -97
202. -1.026880 -97
203. -1.026683 -97
204. -1.026486 -97
205. -1.026289 -97
206. -1.026092 -97
207. -1.025895 -97
208. -1.025699 -97
209. -1.025502 -97
210. -1.025305 -97
211. -1.025109 -97
212. -1.024912 -97
213. -1.024716 -97
214. -1.024520 -97
215. -1.024324 -97
216. -1.024128 -97
217. -1.023932 -97
218. -1.023736 -97
219. -1.023540 -97
220. -1.023344 -97
221. -1.023148 -97
222. -1.022952 -97
223. -1.022757 -97
224. -1.022561 -97
225. -1.022366 -97
226. -1.022171 -97
227. -1.021975 -97
228. -1.021780 -97
229. -1.021585 -97
230. -1.021390 -97
231. -1.021195 -97
232. -1.021000 -97
233. -1.020805 -97
234. -1.020610 -97
235. -1.020416 -97
236. -1.020221 -98
237. -1.020026 -98
238. -1.019832 -98
239. -1.019638 -98
240. -1.019443 -98
241. -1.019249 -98
242. -1.019055 -98
243. -1.018861 -98
244. -1.018667 -98
245. -1.018473 -98
246. -1.018279 -98
247. -1.018085 -98
248. -1.017891 -98
249. -1.017698 -98
250. -1.017504 -98
251. -1.017310 -98
252. -1.017117 -98
253. -1.016924 -98
254. -1.016730 -98
255. -1.016537 -98
256. -1.016344 -98
257. -1.016151 -98
258. -1.015958 -98
259. -1.015765 -98
260. 0.000000 0
261. 0.000000 0
262. 0.000000 0
263. 0.000000 0
264. 0.000000 0
265. 0.000000 0
266. 0.000000 0
